id,kernel,lml,white_added,second_exception
37,r,-97.9361745532,False,False
37,l+r,-131.83673051,True,False
37,l+p,-163.665955276,True,False
37,p+r,-77.4575737794,False,False
37,l*r,-145.163562508,True,False
37,l*p,-10.6479577104,True,False
37,p*r,-2.89718489,True,False
37,l+r+p,-21.2827667511,True,False
37,l+r*p,-92.5845094898,False,False
37,l*r+p,-66.7743171878,True,False
37,l*p+r,-138.171410046,False,False
37,l*r*p,-145.159029574,True,False
38,l,-188.848925306,False,False
38,p,-163.392790216,False,False
38,r,28.7661702245,False,False
38,l+r,-173.027026811,True,False
38,l+p,-241.770373559,False,False
38,p+r,26.7898509758,False,False
38,l*r,-185.585275575,False,False
38,l*p,-175.838950006,False,False
38,p*r,-5.98813238846,True,False
38,l+r+p,-185.87166083,True,False
38,l+r*p,-223.411882706,True,False
38,l*r+p,-23.0527216794,True,False
38,l*p+r,33.2410963613,False,False
38,l*r*p,-185.534977331,False,False
39,l,-409.583498642,False,False
39,p,-463.196036804,False,False
39,r,-421.375338805,False,False
39,l+r,-421.751668768,False,False
39,l+p,-1724.71583132,False,False
39,p+r,-510.493013097,False,False
39,l*r,-172.488734617,True,False
39,l*p,-409.429176032,False,False
39,p*r,-105.821524758,True,False
39,l+r+p,-356.941239852,False,False
39,l+r*p,-422.576944873,False,False
39,l*r+p,-173.085601128,True,False
39,l*p+r,-508.617813375,True,False
39,l*r*p,-152.145625315,False,False
40,l,-146.002517109,False,False
40,p,174.699460697,False,False
40,r,-78.5514201731,False,False
40,l+r,-79.7107229067,False,False
40,l+p,67.1683476067,False,False
40,p+r,168.82371444,False,False
40,l*r,-143.394546569,False,False
40,l*p,-7.8975417552,True,False
40,p*r,-143.34050211,False,False
40,l+r+p,-101.407147014,True,False
40,l+r*p,-6.99913902961,True,False
40,l*r+p,109.205932351,False,False
40,l*p+r,-8.86209003499,True,False
40,l*r*p,-143.387758526,False,False
41,l,-146.649413006,False,False
41,p,-144.418702817,False,False
41,r,-124.977347114,False,False
41,l+r,-126.645048535,False,False
41,l+p,159.989759302,False,False
41,p+r,-130.189702132,True,False
41,l*r,-144.088710219,False,False
41,l*p,-8.59965664796,True,False
41,p*r,23.1518826819,False,False
41,l+r+p,126.521623655,False,False
41,l+r*p,-176.072635792,False,False
41,l*r+p,-144.106724686,False,False
41,l*p+r,99.547841714,False,False
41,l*r*p,-144.082418639,False,False
42,l,-314.520632993,False,False
42,p,-312.483395649,False,False
42,r,-849.544928904,False,False
42,l+r,-189.396602015,False,False
42,l+p,-311.470947135,False,False
42,p+r,-280.384292098,False,False
42,l*r,-3.60712127196,False,False
42,l*p,-314.235861002,False,False
42,p*r,-330.1590025,False,False
42,l+r+p,-310.551088099,True,False
42,l+r*p,-283.343009369,False,False
42,l*r+p,-53.8474372648,False,False
42,l*p+r,-360.961455046,True,False
42,l*r*p,-123.458492971,True,False
43,l,-67.8947079108,False,False
43,p,-62.7538893335,False,False
43,r,205.903140735,False,False
43,l+r,2.23711504795,True,False
43,l+p,-69.2266423627,False,False
43,p+r,-70.4325297566,False,False
43,l*r,132.877849188,False,False
43,l*p,-67.5111105551,False,False
43,p*r,235.480177074,False,False
43,l+r+p,2.21711162773,True,False
43,l+r*p,154.571019998,False,False
43,l*r+p,234.953162242,False,False
43,l*p+r,201.854514118,False,False
43,l*r*p,45.7031062258,False,False
44,l,-194.756451581,False,False
44,p,92.8812997175,False,False
44,r,104.000462848,False,False
44,l+r,102.939934563,False,False
44,l+p,-131.284394999,False,False
44,p+r,-16.6926108855,True,False
44,l*r,64.1300763156,False,False
44,l*p,72.7161357495,False,False
44,p*r,128.520240242,False,False
44,l+r+p,-155.885576759,True,False
44,l+r*p,124.292278581,False,False
44,l*r+p,-25.4061711829,False,False
44,l*p+r,-19.9989173758,True,False
44,l*r*p,-186.867997037,True,False
45,l,-426.62431789,False,False
45,p,-502.060545182,False,False
45,r,-247.658507828,False,False
45,l+r,-250176.627096,True,False
45,l+p,-355.01838278,False,False
45,p+r,-444.419712235,False,False
45,l*r,-245.924725134,True,False
45,l*p,-201.086738192,False,False
45,p*r,-1044050.34166,True,True
45,l+r+p,-387.705313152,False,False
45,l+r*p,-418.305095756,True,False
45,l*r+p,-305.701877276,True,False
45,l*p+r,-377.980003054,False,False
45,l*r*p,-243.176101729,True,False
46,l,-151.466381483,False,False
46,p,163.370419956,False,False
46,r,164.586452795,False,False
46,l+r,160.541860796,False,False
46,l+p,-80.5175943692,False,False
46,p+r,158.940476829,False,False
46,l*r,-143.968722052,False,False
46,l*p,119.969564573,False,False
46,p*r,-171.051968459,False,False
46,l+r+p,147.493174092,False,False
46,l+r*p,-181.747211448,False,False
46,l*r+p,79.4310609039,False,False
46,l*p+r,171.673779171,False,False
46,l*r*p,-143.980724657,False,False
47,l,-147.683117865,False,False
47,p,157.21069416,False,False
47,r,-64.0091452561,False,False
47,l+r,-68.1131796342,False,False
47,l+p,-77.7615763898,False,False
47,p+r,58.5579681532,False,False
47,l*r,-141.638567715,False,False
47,l*p,-8.13093121005,True,False
47,p*r,-69.4789854322,False,False
47,l+r+p,149.497983542,False,False
47,l+r*p,-160.75177942,False,False
47,l*r+p,211.087591927,False,False
47,l*p+r,-82.3428607053,True,False
47,l*r*p,-141.646901573,False,False
48,l,-248.197432295,False,False
48,p,-157.775508723,False,False
48,r,-584.755089408,False,False
48,l+r,-323.138844036,False,False
48,l+p,-250.317741763,False,False
48,p+r,-7.25247363449,False,False
48,l*r,-60.7742600059,True,False
48,l*p,-41.8247961874,False,False
48,p*r,-75.4090053682,True,False
48,l+r+p,-243.426303588,False,False
48,l+r*p,-249.982050053,False,False
48,l*r+p,-148.766488193,False,False
48,l*p+r,-240.931225608,False,False
48,l*r*p,-109.566312384,True,False
49,l,-153.748214858,False,False
49,p,158.771669844,False,False
49,r,144.390899752,False,False
49,l+r,-8.27362530099,True,False
49,l+p,-79.3115206731,False,False
49,p+r,136.620445487,False,False
49,l*r,-144.076005103,False,False
49,l*p,-84.5110798093,False,False
49,p*r,-166.102079617,False,False
49,l+r+p,147.785532482,False,False
49,l+r*p,-20.8178288479,True,False
49,l*r+p,79.2596135176,False,False
49,l*p+r,-150.713107543,False,False
49,l*r*p,-144.199307956,False,False
50,l,-194.934454967,False,False
50,p,71.6280134367,False,False
50,r,106.508631459,False,False
50,l+r,102.954751263,False,False
50,l+p,-121.068811812,False,False
50,p+r,110.720915767,False,False
50,l*r,68.9178358951,False,False
50,l*p,-126.016540395,False,False
50,p*r,115.237357344,False,False
50,l+r+p,102.955810867,False,False
50,l+r*p,69.7512204416,False,False
50,l*r+p,117.831333542,False,False
50,l*p+r,56.821263883,False,False
50,l*r*p,-77.1559854414,True,False
51,l,-344.446830482,False,False
51,p,-341.670176549,True,False
51,r,-19084446.8996,False,False
51,l+r,-2350125.43674,False,False
51,l+p,-361.056429379,False,False
51,p+r,-129.46008206,False,False
51,l*r,-165.402219418,True,False
51,l*p,-201.632207575,True,False
51,p*r,-74.0036314306,True,False
51,l+r+p,-129.450057905,True,False
51,l+r*p,-283.927868969,False,False
51,l*r+p,-113.865272027,True,False
51,l*p+r,-346.53659313,False,False
51,l*r*p,-99.1245330959,True,False
52,l,-146.725765592,False,False
52,p,212.151202272,False,False
52,r,-138.981962045,False,False
52,l+r,-72.6791216169,True,False
52,l+p,-77.9294917645,False,False
