pid,composition,lml,white_added,second_exception
30,l*r*p,13.845513776,False,False
31,l,-221.443936848,False,False
31,p,-128.839696967,False,False
31,r,941.159367285,False,False
31,l+r,74.1662210448,True,False
31,l+p,-133.610194902,False,False
31,p+r,-127.726745102,False,False
31,l*r,-218.397931806,False,False
31,l*p,148.651673293,False,False
31,p*r,965.295274653,False,False
31,l+r+p,892.533874391,False,False
31,l+r*p,956.132416531,False,False
31,l*r+p,856.191224221,False,False
31,l*p+r,-5.82604208947,False,False
31,l*r*p,-218.397992491,False,False
32,l,-750.322334632,False,False
32,p,-749.654528477,False,False
32,r,115.385289887,False,False
32,l+r,-56.7647014444,True,False
32,l+p,-750.322304487,False,False
32,p+r,387.005352424,False,False
32,l*r,-77.7885325384,True,False
32,l*p,-595.913539236,False,False
32,p*r,429.480954028,False,False
32,l+r+p,-50.6234925818,True,False
32,l+r*p,386.73829806,False,False
32,l*r+p,-638.336540474,False,False
32,l*p+r,-594.782036933,False,False
32,l*r*p,387.436577283,False,False
33,l,-1328.30710797,False,False
33,p,-1328.30616863,False,False
33,r,-46.9098834608,False,False
33,l+r,-46.9110487061,False,False
33,l+p,-1328.30711097,False,False
33,p+r,-704.845922688,False,False
33,l*r,-1344.3040477,False,False
33,l*p,-1118.43928773,False,False
33,p*r,-694.378373983,False,False
33,l+r+p,-47.0532642375,False,False
33,l+r*p,-484.203405151,False,False
33,l*r+p,-740.279286813,False,False
33,l*p+r,-1213.61266656,True,False
33,l*r*p,-154.67648225,True,False
34,l,-577.647809493,False,False
34,p,-576.757089379,False,False
34,r,379.001773119,False,False
34,l+r,378.506648592,False,False
34,l+p,-576.137488475,False,False
34,p+r,379.001770169,False,False
34,l*r,-576.757077421,False,False
34,l*p,-551.21324202,False,False
34,p*r,415.587289426,False,False
34,l+r+p,-250.302541477,False,False
34,l+r*p,415.246680269,False,False
34,l*r+p,-576.757089931,False,False
34,l*p+r,-480.9767199,False,False
34,l*r*p,-576.757076822,False,False
35,l,-332.281940728,False,False
35,p,1051.0149171,False,False
35,r,1051.14604343,False,False
35,l+r,1050.47277877,False,False
35,l+p,981.866912096,False,False
35,p+r,1008.19611639,False,False
35,l*r,-341.940400688,False,False
35,l*p,90.8139006952,True,False
35,p*r,92.6861019603,True,False
35,l+r+p,12.9259446019,True,False
35,l+r*p,92.4021662353,True,False
35,l*r+p,1010.78672899,False,False
35,l*p+r,438.538421386,False,False
35,l*r*p,-341.940389971,False,False
36,l,-1209.27690032,False,False
36,p,-1219.46063205,False,False
36,r,275.480399173,False,False
36,l+r,275.488634369,False,False
36,l+p,-934.355897538,False,False
36,p+r,295.711832829,False,False
36,l*r,241.887226157,False,False
36,l*p,-1209.27690537,False,False
36,p*r,358.80646243,False,False
36,l+r+p,-20.2822768769,True,False
36,l+r*p,341.769158388,False,False
36,l*r+p,251.852482394,False,False
36,l*p+r,270.006073736,False,False
36,l*r*p,323.174532312,False,False
37,l,-648.776691795,False,False
37,p,-447.155943339,False,False
37,r,638.905225758,False,False
37,l+r,595.229654565,False,False
37,l+p,-615.855253154,False,False
37,p+r,-652.647493542,False,False
37,l*r,-651.276419493,True,False
37,l*p,-517.978754348,False,False
37,p*r,636.80360729,False,False
37,l+r+p,595.982717999,False,False
37,l+r*p,51.2470699244,True,False
37,l*r+p,-447.155942417,False,False
37,l*p+r,17.8334508463,False,False
37,l*r*p,-1670.18459565,True,True
38,l,-726.463532582,False,False
38,p,-728.036045811,False,False
38,r,246.496782252,False,False
38,l+r,232.33910398,False,False
38,l+p,-705.010741733,False,False
38,p+r,246.496776454,False,False
38,l*r,247.649760812,False,False
38,l*p,-712.940706834,True,False
38,p*r,292.986775651,False,False
38,l+r+p,-664.687087841,False,False
38,l+r*p,292.917316774,False,False
38,l*r+p,-648.714586574,False,False
38,l*p+r,246.497606921,False,False
38,l*r*p,175.05293598,False,False
39,l,-1712.82640988,False,False
39,p,-1712.80746389,False,False
39,r,-949.327605704,False,False
39,l+r,-949.327437556,False,False
39,l+p,-1826.89287122,False,False
39,p+r,-832.397971457,False,False
39,l*r,-1759.8658237,False,False
39,l*p,-1098.46127289,True,False
39,p*r,-964.061065299,False,False
39,l+r+p,-927.988180228,False,False
39,l+r*p,-998.982325172,True,False
39,l*r+p,-960.520511239,False,False
39,l*p+r,-1376.66296235,True,False
39,l*r*p,-882.536463954,False,False
40,l,-571.275722667,False,False
40,p,-569.827075906,False,False
40,r,269.68560449,False,False
40,l+r,325.360416301,False,False
40,l+p,-571.275722155,False,False
40,p+r,326.18634184,False,False
40,l*r,-569.827057404,False,False
40,l*p,-568.668231566,False,False
40,p*r,367.061312588,False,False
40,l+r+p,-41.5929510936,True,False
40,l+r*p,360.229476072,False,False
40,l*r+p,-569.827069471,False,False
40,l*p+r,-484.22741857,False,False
40,l*r*p,-569.827056101,False,False
41,l,-552.2580486,False,False
41,p,-490.759308307,False,False
41,r,422.631980691,False,False
41,l+r,421.863533014,False,False
41,l+p,-545.935164449,False,False
41,p+r,-550.706700405,False,False
41,l*r,-551.853669241,False,False
41,l*p,-118.925068189,True,False
41,p*r,471.985168054,False,False
41,l+r+p,412.854560062,False,False
41,l+r*p,471.450092969,False,False
41,l*r+p,-551.853705927,False,False
41,l*p+r,121.416232753,False,False
41,l*r*p,-551.853668183,False,False
42,l,-1257.84444294,False,False
42,p,-1257.90229715,False,False
42,r,-726.025667895,False,False
42,l+r,-726.021214103,False,False
42,l+p,-1261.74932669,True,False
42,p+r,-726.025668783,False,False
42,l*r,-1271.88168703,False,False
42,l*p,-1257.79972394,False,False
42,p*r,-894.031574287,False,False
42,l+r+p,-726.021265171,False,False
42,l+r*p,-755.147507214,False,False
42,l*r+p,-859.48789802,False,False
42,l*p+r,-1229.39936139,True,False
42,l*r*p,-698.266172725,False,False
43,l,-290.08515726,False,False
43,p,-287.398608202,False,False
43,r,712.777226498,False,False
43,l+r,710.891874384,False,False
43,l+p,50.2189783632,False,False
43,p+r,42.6133999274,False,False
43,l*r,-287.398817226,False,False
43,l*p,-132.086927761,False,False
43,p*r,756.05878564,False,False
43,l+r+p,-174.343521727,False,False
43,l+r*p,44.2025668361,True,False
43,l*r+p,-165.011969523,False,False
43,l*p+r,-206.311841862,False,False
43,l*r*p,-287.398824438,False,False
44,l,-746.604924786,False,False
44,p,-747.109560257,False,False
44,r,36.3630533868,False,False
44,l+r,-156.229792246,True,False
44,l+p,-342.582655412,False,False
44,p+r,36.4062815093,False,False
44,l*r,5.83992044128,False,False
44,l*p,-662.420535452,False,False
44,p*r,108.351060932,False,False
44,l+r+p,36.6949018227,False,False
44,l+r*p,-142.190300632,True,False
44,l*r+p,-446.35608976,False,False
44,l*p+r,-589.235730809,False,False
44,l*r*p,-158.610332366,True,False
45,l,-1658.10832557,False,False
45,p,-1658.11941274,False,False
45,r,-774.209064007,False,False
45,l+r,-774.208507719,False,False
45,l+p,-7954.92009733,True,False
45,p+r,-774.209064104,False,False
45,l*r,-801.349373181,False,False
45,l*p,-1783.36901494,False,False
45,p*r,-825.107871277,False,False
45,l+r+p,-668.285670906,False,False
45,l+r*p,-1647.32258686,False,False
45,l*r+p,-1724.93355149,False,False
45,l*p+r,-916.994252965,True,False
45,l*r*p,-741.561501609,True,False
46,l,-581.545798902,False,False
46,p,-580.57116267,False,False
46,r,524.963722013,False,False
46,l+r,21.6980636624,True,False
46,l+p,-580.49457291,False,False
46,p+r,404.807577812,False,False
46,l*r,-580.571141513,False,False
46,l*p,-365.733827783,False,False
46,p*r,555.390955375,False,False
46,l+r+p,524.384118321,False,False
46,l+r*p,582.186851641,False,False
46,l*r+p,-580.57115928,False,False
46,l*p+r,-388.110599055,False,False
46,l*r*p,-580.571141869,False,False
47,l,-367.735169383,False,False
47,p,1175.90264419,False,False
47,r,1169.45809425,False,False
47,l+r,1171.11403555,False,False
47,l+p,107.765657976,True,False
47,p+r,1113.01718279,False,False
47,l*r,-375.743833501,False,False
47,l*p,110.839108727,True,False
47,p*r,108.923016357,True,False
47,l+r+p,1109.08795035,False,False
47,l+r*p,1129.43444132,False,False
47,l*r+p,108.504258449,True,False
47,l*p+r,-290.78632583,False,False
47,l*r*p,-375.743885894,False,False
48,l,-1058.35794515,False,False
48,p,-1067.11661343,False,False
48,r,291.318885228,False,False
48,l+r,292.704307329,False,False
48,l+p,-697.307638931,False,False
48,p+r,-55.7930894143,True,False
48,l*r,275.123269666,False,False
48,l*p,-1058.3579791,False,False
48,p*r,319.634353852,False,False
48,l+r+p,-817.522676497,True,False
48,l+r*p,329.380165564,False,False
48,l*r+p,275.123257421,False,False
48,l*p+r,-925.312427446,False,False
48,l*r*p,339.503415314,False,False
49,l,-600.603257683,False,False
49,p,-600.416176539,False,False
49,r,309.366041249,False,False
49,l+r,389.23525891,False,False
49,l+p,-591.393823959,False,False
49,p+r,398.023865192,False,False
49,l*r,-60.599638882,True,False
49,l*p,-496.895670849,False,False
49,p*r,451.627256148,False,False
49,l+r+p,397.066866423,False,False
49,l+r*p,451.347055643,False,False
49,l*r+p,380.591031267,False,False
49,l*p+r,39.7316343423,False,False
49,l*r*p,-557.859265333,True,False
50,l,-726.551686069,False,False
50,p,-692.232135021,False,False
50,r,55.7071164582,False,False
50,l+r,-137.692693412,True,False
50,l+p,-730.714403,False,False
50,p+r,55.7071086304,False,False
50,l*r,-155.994408617,True,False
50,l*p,-715.302124586,True,False
50,p*r,132.439040611,False,False
50,l+r+p,-137.438124253,True,False
50,l+r*p,-126.089162844,True,False
50,l*r+p,-691.691365398,True,False
50,l*p+r,55.7071158627,False,False
50,l*r*p,-149.032261156,True,False
51,l,-1497.69923688,False,False
51,p,-1507.16557229,False,False
51,r,-453.157400043,False,False
51,l+r,-453.154611893,False,False
51,l+p,-886269.638766,True,True
51,p+r,-453.157406724,False,False
51,l*r,-1595.19001066,False,False
51,l*p,-5218791.32908,True,True
51,p*r,-553.692018872,False,False
51,l+r+p,-423.345284692,False,False
51,l+r*p,-561.941316478,False,False
51,l*r+p,-480.138829397,False,False
51,l*p+r,-474.600672648,True,False
51,l*r*p,-359.416793231,False,False
52,l,-636.036429019,False,False
52,p,916.919710218,False,False
52,r,883.824923555,False,False
52,l+r,917.695880872,False,False
52,l+p,-360.988939438,False,False
52,p+r,917.799450245,False,False
52,l*r,-646.059354952,False,False
52,l*p,-636.036437194,False,False
52,p*r,77.2204319264,True,False
52,l+r+p,952.392662308,False,False
52,l+r*p,76.2638499556,True,False
52,l*r+p,-1670.18803321,True,True
52,l*p+r,-636.036823847,False,False
52,l*r*p,-646.059346159,False,False
53,l,-242.960020263,False,False
53,p,-58.5007034543,False,False
53,r,901.195499632,False,False
53,l+r,899.561182373,False,False
53,l+p,-79.3141696947,False,False
53,p+r,-62.0603037982,False,False
53,l*r,-240.193453674,False,False
53,l*p,-247.975783371,False,False
53,p*r,928.115495444,False,False
53,l+r+p,-79.6330680209,False,False
53,l+r*p,940.109619105,False,False
53,l*r+p,-63.5732801748,False,False
53,l*p+r,-247.967174651,False,False
53,l*r*p,-240.193489009,False,False
54,l,-1186.84665567,False,False
54,p,-1195.17753452,True,False
54,r,398.733403637,False,False
54,l+r,398.823840354,False,False
54,l+p,279.936526346,False,False
54,p+r,398.73340559,False,False
54,l*r,357.371704084,False,False
54,l*p,-1186.84675484,False,False
54,p*r,453.050292914,False,False
54,l+r+p,405.099099405,False,False
54,l+r*p,380.23157363,False,False
54,l*r+p,-501.532201034,False,False
54,l*p+r,-41.3097718175,True,False
54,l*r*p,415.714713948,False,False
55,l,-581.903085301,False,False
55,p,-581.168959553,False,False
55,r,293.133304754,False,False
55,l+r,292.569345594,False,False
55,l+p,-579.108020357,False,False
55,p+r,-498.15067919,False,False
55,l*r,-581.168951196,False,False
55,l*p,-484.211157554,False,False
55,p*r,352.582697711,False,False
55,l+r+p,-55.2705402628,True,False
55,l+r*p,352.204227808,False,False
55,l*r+p,-581.16896339,False,False
55,l*p+r,293.133304146,False,False
55,l*r*p,-581.168949476,False,False
56,l,-710.842190307,False,False
56,p,-643.326094304,False,False
56,r,82.5616975947,False,False
56,l+r,82.1302494279,False,False
56,l+p,-709.864366611,False,False
56,p+r,82.5616320677,False,False
56,l*r,48.7330019196,False,False
56,l*p,-710.380421542,False,False
56,p*r,149.337681647,False,False
56,l+r+p,-127.395939518,True,False
56,l+r*p,149.13728285,False,False
56,l*r+p,-738.128218222,False,False
56,l*p+r,-602.860193966,False,False
56,l*r*p,-1670.18829953,True,True
57,l,-1570.86366049,False,False
57,p,-1570.87050933,False,False
57,r,-652.239509513,False,False
57,l+r,-651.693138871,False,False
57,l+p,-1570.86248041,False,False
57,p+r,-652.239590579,False,False
57,l*r,-1599.84828302,False,False
57,l*p,-1333.27249061,False,False
57,p*r,-680.744989166,False,False
57,l+r+p,-650.327633013,True,False
57,l+r*p,-616.502193825,False,False
57,l*r+p,-668.302826223,False,False
57,l*p+r,-1347.59004589,True,False
57,l*r*p,-610.088631776,False,False
58,l,-716.193420021,False,False
58,p,-721.863855174,False,False
58,r,250.975804994,False,False
58,l+r,-1.4365792679,True,False
58,l+p,-633.659309623,False,False
58,p+r,390.517930778,False,False
58,l*r,-5.40822049156,True,False
58,l*p,-716.19342126,False,False
58,p*r,377.202632174,False,False
58,l+r+p,-369.944563247,False,False
58,l+r*p,3.7490123357,True,False
58,l*r+p,-1670.18821616,True,True
58,l*p+r,143.44299153,False,False
