cid,kernel,lml,white_added,second_exception
26,l+r+p,245.697561756,False,False
26,l+r*p,-78.9533569817,True,False
26,l*r+p,-189.501526044,True,False
26,l*p+r,245.908354544,False,False
26,l*r*p,-177.385220976,True,False
27,l,-2180.78005574,False,False
27,p,-2215.55364938,False,False
27,r,-153.386937479,False,False
27,l+r,-267.377325713,True,False
27,l+p,-143.261189173,False,False
27,p+r,-158.98218011,False,False
27,l*r,-5749.79036091,True,True
27,l*p,-2038.60621255,True,False
27,p*r,-868.022268278,False,False
27,l+r+p,-142.71643085,False,False
27,l+r*p,-951.202565897,False,False
27,l*r+p,-5726.22348164,True,True
27,l*p+r,-153.608942794,False,False
27,l*r*p,-679.550229734,False,False
28,l,-892.628111109,False,False
28,p,-927.464879839,False,False
28,r,1135.93318711,False,False
28,l+r,144.007063551,True,False
28,l+p,148.050885556,True,False
28,p+r,-358.37470616,False,False
28,l*r,-927.464857199,False,False
28,l*p,-892.628167307,True,False
28,p*r,131.532270283,True,False
28,l+r+p,1131.1457409,False,False
28,l+r*p,129.054733687,True,False
28,l*r+p,1037.51228281,False,False
28,l*p+r,-2670.87901821,True,True
28,l*r*p,-927.464804983,True,False
29,l,109.767949742,False,False
29,p,1646.22471959,False,False
29,r,1651.78286713,False,False
29,l+r,1657.45487446,False,False
29,l+p,1649.98242073,False,False
29,p+r,1551.33362579,False,False
29,l*r,76.6711760396,False,False
29,l*p,828.699339417,False,False
29,p*r,76.670590739,False,False
29,l+r+p,1546.9011637,False,False
29,l+r*p,1639.33991825,False,False
29,l*r+p,92.4415160784,False,False
29,l*p+r,827.599860159,False,False
29,l*r*p,76.6705313735,False,False
30,l,-1673.40580392,False,False
30,p,-1721.00022914,False,False
30,r,354.1275658,False,False
30,l+r,362.219068785,False,False
30,l+p,365.972711569,False,False
30,p+r,353.593017097,False,False
30,l*r,-2132.82251715,True,True
30,l*p,-1673.40827625,True,False
30,p*r,356.854778606,False,False
30,l+r+p,362.035023018,False,False
30,l+r*p,349.615608189,False,False
30,l*r+p,99.6050898211,True,False
30,l*p+r,354.350527671,False,False
30,l*r*p,-2132.82251715,True,True
31,l,-983.433071853,False,False
31,p,-736.839511519,False,False
31,r,320.854158204,False,False
31,l+r,-71.7432818155,True,False
31,l+p,-1177.61484933,True,False
31,p+r,-736.838823432,False,False
31,l*r,-983.186441845,False,False
