,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
122,-1438.1695601398274,-1438.432865055647,-133.6651128338716,-278.11580916119385,-367.98550526366034,-129.3960399393285,-1365.9874661183326,225.57608713725645,336.0308254532033,-1340.6148334605991,-1407.9027398291632,327.99571301169016,-1352.2203373924988,206.24810325039215
123,-2601.7986318907692,-1838.1291973919872,-1014.8474360013203,-1248.8868870313474,-1212.3586973506544,-1248.7309019444876,-2593.4805959649666,-999.9347848221782,-1155.1005094942332,-109999921.04731141,-2892.7383537398327,-1052.2121788175664,-966.790688601809,-1146.6063101831692
124,-1184.0673808959373,-155.98061144122676,36.71884019487322,-252.2562047575583,-119.71881987808007,-1127.3644001712642,-670.5912429661894,345.4366821489716,455.7655032529771,344.2990846830422,-1176.50273608684,466.68551672549756,338.0957488592428,337.646687906192
125,-1182.7774498894441,-190.72264448510634,-276.3014806336878,48.03030046892252,-240.32932177887668,-196.3280636226384,-1112.8923101873083,178.42397206282436,249.09281833409267,-1112.053945740004,-1138.3970176185603,248.62237202719092,193.03793794288993,119.15278643451427
126,-1950.3729446358352,-8555734.687391404,-1546.7674959262627,-2123.6933100893225,-2123.6933143894953,-2122.8208315945767,-1890.265069469324,-556.514640502895,-629.2167822525128,-1293.5071517877266,-1858.323864298365,-625.582686893689,-1492.8477896979628,-584.772287539244
127,817.6379155079641,-273.6731434491133,1449.3092150364187,-42.728467376326364,-42.729778880250564,152.76869475471395,1650.2851629516879,1660.395544353326,817.6379157904137,1554.943042441731,1648.230408010441,141.1309441558755,134.38873745221667,1653.0104768632114
128,-1411.7637534213618,-1412.026366413412,1614.5833907567649,-162.12239855793348,-2053.39878508805,147.52545991432228,1606.5501200952658,148.1978013423893,146.22201921741384,146.98145321869669,-351.0820120291077,-379893.6004669571,1606.3374294144687,1616.0886279748427
129,-2405.27392754745,-2404.319463257047,-1727.701372415344,-28361.81214999715,-28361.81214999715,-28183.375152496963,-34.956033722290556,-35.47344135831622,-1034.891539988379,-4099.505191671446,-2127.114546745309,-1208.483261066801,-999999999.0,-37.86730975254028
13,-927.7497850923075,-865.6018988851688,-385.01246492916505,-50.7584640906522,-33.87019588960244,-554.592999280366,-819.9681341578266,485.25721289337923,624.907307772897,-557.5681939715344,-819.4428115794516,530.289568558106,609.1769751419116,365.39335400880896
130,-1113.5702969898139,-941.189644065923,-11416.871601230894,-72.9517032160092,-2036.194113676502,1317.0583018296184,147.95565519947368,145.88721140442223,145.88843163241185,1298.6050656392358,-748.3696300613111,-72907.07940001965,1300.3362014835,1320.47016646058
131,-980.7324328939601,-981.4036375240194,148.41149021926626,-37.859775609614516,-37.474086186930926,1523.6554400195469,-999999999.0,138.42403744262504,138.06895880063158,1479.4551764063876,-475.45640124899836,-24229.895125258343,1512.010070489281,1576.7284605930793
132,-1635.0511640777538,-1125.5412212786118,-1090.9593584379406,-2177.009136932467,-191.0430396651048,128.8046748043018,358.4860053341198,359.5474896119281,361.8020374906882,361.5970909183877,-1717.1988601570274,-9977324.312125836,351.95335544373836,351.99357686306223
133,-889.9341956831611,-889.9340227902803,-864.8320772512621,809.4265195574648,-2033.9276379359349,-715.4568126945038,-714.3337103616554,78.73480461540436,1076.3817842960043,1033.0108875546,-713.7552220178036,83.73005933250273,-99.48189451249885,906.3821980178515
134,-1144.0706907787905,-1144.0706952320572,-714.934178713231,-82.73216961058921,-2036.939040388802,-786.6694421250934,-486.09737028893414,611.2080652861695,48.67370204922077,-768.0922394617959,-787.5091195015597,541.486025188132,881.6127982571134,818.7518919491665
135,-2340.279262803048,-2085.380323441569,-1904.2152298188187,-16374.360068052414,-16374.360068052414,-16276.90193696358,-1374.4872442987835,0.9667003240564043,30.428909563410407,-17283.800651162856,-1916.628111099099,51.739314074891624,363.49215978113716,0.9667057990373564
136,-1098.9943637424176,-712.5128004765368,-10334.92969470908,-69.00131680317911,-68.64947044089803,-486.7789019682533,128.4911098220435,135.86478527612894,132.21264155340592,104.54870441140746,-487.09849080685916,126.62857482114299,1544.3272103001407,1519.349578771859
137,-933.4365204859605,-31.049661177449877,-295.9270701665789,-28.800987394899906,-999999999.0,1461.7644176708102,81.37423644829713,1506.812351297088,1500.9313058194693,65.55895745324486,1500.44024776498,130.37598022395628,1520.3575655149443,1500.7435305756399
138,-1767.2781829938858,-1767.2782588664395,-1250.0548039661223,-2365.4674710687113,-2365.4674710687113,-2294.089297017105,-1071.444908004844,659.4773007709063,708.5194424215177,692.03752964582,647.5218267175817,-396.98354338521085,-1365.9694902107944,647.5111217523626
139,-1073.536229455869,-1074.1890418770734,-134.55698088068968,-241.9883250778296,-225.59837673344137,-878.728925485342,-474.12059273273644,247.45972936051433,307.81067245128315,-479.68157328471125,-472.71041827635645,307.02321500350297,293.61014120309204,218.06002584756715
