,kernel,lml
362,l+r*p,116.46431178744132
363,p+r,-150.66868444917213
364,l+r*p,213.69211419824356
365,p*r,206.36927501453
366,l+r+p,50.625119746842785
367,p*r,172.73255228530036
368,p*r,142.31724794778043
369,l+r,-83.70409680527894
37,l+r*p,184.54805338983942
370,l+r+p,171.44036546201394
371,l+r*p,210.8655163651211
372,l+r,-2.73551749656826
373,l+r*p,179.4553771059106
374,l+r+p,140.06075293066544
375,r,-134.83481619335117
376,p+r,168.7248130130816
377,p+r,183.5951216877668
378,l+r+p,-16.223021946051897
379,l+r*p,225.52891640773393
38,p*r,124.8173822967272
380,p+r,185.85598869796019
381,p+r,-146.96534875349028
382,l+r,183.9846840411002
383,l+r,186.66755377360215
384,l+r+p,15.582333499264848
385,l+r*p,178.24863768957468
386,l+r+p,131.14804950937184
387,p,-124.7291438585485
388,p*r,168.91653757145366
389,p+r,185.1964713800939
39,l+r+p,-116.25000665033389
390,l+r,-30.95660652364669
391,p*r,184.17265429361203
392,l+r*p,196.6933705836202
393,l+r+p,-154.38544659632836
394,l+r,183.2977771544306
395,l+r*p,142.11865991723883
396,l+r+p,8.096906181945485
397,p*r,184.26129243504184
398,p*r,173.57261603544393
399,l+r,-92.5231184662383
4,p*r,164.1793968765179
40,l+r*p,175.986780064195
400,l+r*p,198.7582583579472
401,p*r,214.02314728863652
402,l+r+p,33.363338064118054
403,l+r*p,158.1020729266594
404,p*r,112.91421573382681
405,l+r,-80.57502908886082
406,l+r*p,203.2837039839915
407,p*r,176.23759039369975
408,l+p,9.559078358615913
409,p*r,175.8366160459118
41,l+r*p,175.6855921856946
410,l+r*p,111.71895120939709
411,p*r,-106.0362721190285
412,l+r+p,180.92746850755825
413,l+r*p,166.82623170512875
414,p+r,-20.34673593963402
415,l+r+p,217.52752760905773
416,l+r*p,136.71908639715699
417,l+r,-78.61743662696118
418,l+r,196.39764821077037
419,p*r,216.30452165616737
42,p+r,-5.58082209503765
420,p+r,35.17213945788993
421,l+r*p,165.5584662150498
422,p+r,131.2425159410703
423,p*r,-107.01406161849005
424,l+r*p,160.39882992479195
425,p*r,178.21122004634353
426,p+r,-12.088841886778486
427,p*r,222.45213722394163
428,p*r,171.41278103472058
429,l+r+p,-151.61568615485496
43,p*r,228.78070946293428
430,l+r*p,202.0049831246178
431,l+r*p,225.87498902827235
432,l+r+p,15.671616448152268
433,p*r,176.98609358132163
434,p+r,141.91416001055646
435,l*r*p,-198.65164397553693
436,p*r,175.1759099124975
437,l+r+p,163.46123396231016
438,p+r,-8.971147429641071
439,p*r,138.29290124626348
44,l+r*p,111.17532036816591
440,l+r+p,133.87177095807505
441,l+r+p,-163.90636323436175
442,l+r+p,178.63324501500705
443,l+r*p,179.12931778725192
444,p+r,-13.160801928783098
