,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
120,-409.1455776604318,-255.52227670204485,-112.90840961682946,-91.14788917108861,-883.5153052347861,-81.81798715128156,-299.7555103897627,-67.10168145813147,-103.08892892698935,-81.04626473443122,-334.27931229958875,-109.52749278708873,-314.3972208119082,-67.20476918995453
121,-212.2540950082618,91.78493708207876,-129.90623448745345,91.82732650163105,107.85263630395863,154.43940314341424,-12.415056706328414,144.59615021064664,161.64317927131626,-12.148416133011349,107.02072496208709,171.50463079075044,108.2684451614897,140.11670126772293
122,-253.78516526108737,58.076768711901536,-173.13610745489643,-2.9721953319163745,62.07284997438181,-191.63914573010337,-172.84462501929238,96.77507786929087,124.51702994112068,52.45336717360557,-159.24945799249613,121.35233131900378,68.43878655435654,96.98650233991782
123,-520.1375499706644,-445.9587200811146,-406.84372006185913,-178.831279086098,-170.62529419405422,-179.73754303154095,-413.8488798018373,-116.64953065849502,-185.6494959329161,-3379883.4984865543,-414.0316408908951,-182.17063551880352,-98.16573316951741,-443.03591535745574
124,-235.43005857908156,57.81380146128073,51.68713729069198,43.93366643636297,51.869136965859866,-135.0074152476402,-136.3297125197493,91.30713195453075,110.60846479810117,-73.8317129892896,-142.66307350285743,97.5510173086227,-133.01707407054215,92.8501847160557
125,-228.1190518071658,77.31431945779377,81.17715802767457,-31.25919294770328,92.39226530931388,124.22822966523235,-9.966455715059539,133.31790129765045,167.90422282594184,150.90075069066302,100.75267940246991,154.4266018230736,-109.4830641214206,99.86449249448413
126,-415.98871266084484,-1290307.5976868328,-339.83385558070205,-93.88636716540105,-119.8612728483132,-97.31793243200494,-313.60264806499185,-30.696722303997216,-141.5039397457091,-28.23148437622642,-331.6402936274925,-132.03684592544082,-348.9652378538775,-313.7394526005782
127,-218.74475980233402,62.47801720834953,62.36154897439178,-26.60650992960146,-26.44440453756264,-105.57177923803388,16.902225503132534,123.35794647520018,81.6863576680486,10.61433080083038,-105.57177955612524,84.5574131223022,-105.5715640018997,133.98779938705707
128,-261.03770336161836,67.89428319103692,67.9063713182739,23.013833651264974,-39.70698007305016,120.00032236823758,-44.54882982764039,67.05792750514743,142.24485337768434,116.96197059999287,1.0547557111052104,131.14988695309182,120.00918369802785,104.08544637266384
129,-507.6768636372404,-454.49633639457795,-425.0317791756397,-252.42000553642436,-239.4793998230948,-254.28838611462808,-414.43356810344227,-216.84539576270774,-212.71499623849013,-194.00802564042596,-219.20840162720674,-195.31325748695636,-197.17291540479147,-228.3502944666094
13,-209.3534193234169,117.07301671784921,-28.059886465001043,116.88088801758195,-25.485138735285673,149.72061949479027,57.51959145342012,184.20346923256042,185.40406488865239,40.55933763652885,6.001001181345913,139.63054186944788,148.05456274420038,175.96060672637563
130,-226.81969670840215,66.84895381420668,69.33442293001869,-36.617073359239726,-364.79243316851665,133.56374577085842,6.546952848480309,97.12173783908625,161.51664441705384,6.605558457213419,141.80280319240262,124.2784072936155,100.44807852252757,135.84382164243948
131,-233.0202565521925,97.42384149683305,97.42941364754151,-32.0481602183446,86.32714781671741,-129.10227325233444,-117.91327651251464,143.0115884752528,167.66767411427833,-107.66095635057391,97.0938478506068,166.5759174121785,131.97584109863263,97.98374641248152
132,-427.0199863042652,-335.20397317004057,-157.49752180734114,-99.41530937088996,-83.6279301539482,-122.26143091706624,-299.3752906402634,-31.088695794316525,-45.73527607167752,-3.951574262015953,-347.3425947629711,-108.9195871927077,0.858497835862579,-35.754053297815716
