cid,composition,white_added,second_exception
36,l*r,True,False
36,l*p,False,False
36,p*r,False,False
36,l+r+p,False,False
36,l+r*p,False,False
36,l*r+p,False,False
36,l*p+r,True,False
36,l*r*p,False,False
37,l,False,False
37,p,False,False
37,r,False,False
37,l+p,True,False
37,l+r,False,False
37,p+r,False,False
37,l*r,False,False
37,l*p,True,False
37,p*r,True,False
37,l+r+p,True,False
37,l+r*p,True,False
37,l*r+p,True,False
37,l*p+r,False,False
37,l*r*p,True,True
38,l,False,False
38,p,False,False
38,r,False,False
38,l+p,False,False
38,l+r,False,False
38,p+r,False,False
38,l*r,True,False
38,l*p,False,False
38,p*r,True,True
38,l+r+p,False,False
38,l+r*p,False,False
38,l*r+p,False,False
38,l*p+r,True,True
38,l*r*p,True,False
39,l,False,False
39,p,False,False
39,r,False,False
39,l+p,False,False
39,l+r,False,False
39,p+r,False,False
39,l*r,True,False
39,l*p,False,False
39,p*r,False,False
39,l+r+p,True,False
39,l+r*p,False,False
39,l*r+p,False,False
39,l*p+r,True,False
39,l*r*p,True,True
40,l,False,False
40,p,False,False
40,r,False,False
40,l+p,False,False
40,l+r,True,False
40,p+r,False,False
40,l*r,True,False
40,l*p,False,False
40,p*r,False,False
40,l+r+p,False,False
40,l+r*p,True,False
40,l*r+p,False,False
40,l*p+r,True,False
40,l*r*p,True,False
41,l,False,False
41,p,False,False
41,r,False,False
41,l+p,True,False
41,l+r,False,False
41,p+r,True,False
41,l*r,True,False
41,l*p,True,False
41,p*r,False,False
41,l+r+p,True,False
41,l+r*p,False,False
41,l*r+p,False,False
41,l*p+r,True,True
41,l*r*p,True,False
42,l,False,False
42,p,False,False
42,r,False,False
42,l+p,False,False
42,l+r,False,False
42,p+r,False,False
42,l*r,True,True
42,l*p,False,False
42,p*r,False,False
42,l+r+p,True,False
42,l+r*p,False,False
42,l*r+p,True,False
42,l*p+r,True,False
42,l*r*p,True,True
43,l,False,False
43,p,False,False
43,r,False,False
43,l+p,False,False
43,l+r,False,False
43,p+r,False,False
43,l*r,False,False
43,l*p,False,False
43,p*r,False,False
43,l+r+p,True,False
43,l+r*p,True,False
43,l*r+p,False,False
43,l*p+r,True,True
43,l*r*p,False,False
44,l,False,False
44,p,False,False
44,r,False,False
44,l+p,False,False
44,l+r,False,False
44,p+r,False,False
44,l*r,False,False
44,l*p,True,False
44,p*r,False,False
44,l+r+p,False,False
44,l+r*p,False,False
44,l*r+p,False,False
44,l*p+r,True,False
44,l*r*p,False,False
45,l,False,False
45,p,False,False
45,r,False,False
45,l+p,False,False
45,l+r,True,False
45,p+r,False,False
45,l*r,True,False
45,l*p,True,False
45,p*r,False,False
45,l+r+p,False,False
45,l+r*p,False,False
45,l*r+p,True,False
45,l*p+r,True,False
45,l*r*p,True,True
46,l,False,False
46,p,False,False
46,r,False,False
46,l+p,False,False
46,l+r,True,False
46,p+r,False,False
46,l*r,False,False
46,l*p,False,False
46,p*r,False,False
46,l+r+p,True,False
46,l+r*p,False,False
46,l*r+p,True,False
46,l*p+r,True,True
46,l*r*p,False,False
47,l,False,False
47,p,False,False
47,r,False,False
47,l+p,False,False
47,l+r,False,False
47,p+r,False,False
47,l*r,True,False
47,l*p,True,True
47,p*r,False,False
47,l+r+p,True,False
47,l+r*p,False,False
47,l*r+p,False,False
47,l*p+r,True,True
47,l*r*p,True,True
48,l,False,False
48,p,False,False
48,r,False,False
48,l+p,True,False
48,l+r,False,False
48,p+r,False,False
48,l*r,True,True
48,l*p,False,False
48,p*r,True,False
48,l+r+p,True,False
48,l+r*p,True,False
48,l*r+p,False,False
48,l*p+r,True,False
48,l*r*p,True,True
49,l,False,False
49,p,False,False
49,r,False,False
49,l+p,False,False
49,l+r,False,False
49,p+r,False,False
49,l*r,False,False
49,l*p,False,False
49,p*r,False,False
49,l+r+p,False,False
49,l+r*p,False,False
49,l*r+p,False,False
49,l*p+r,False,False
49,l*r*p,True,True
50,l,False,False
50,p,False,False
50,r,False,False
50,l+p,False,False
50,l+r,False,False
50,p+r,False,False
50,l*r,False,False
50,l*p,True,False
50,p*r,False,False
50,l+r+p,False,False
50,l+r*p,False,False
50,l*r+p,False,False
50,l*p+r,True,False
50,l*r*p,False,False
51,l,False,False
51,p,False,False
51,r,False,False
51,l+p,False,False
51,l+r,False,False
51,p+r,False,False
51,l*r,False,False
51,l*p,False,False
51,p*r,False,False
51,l+r+p,False,False
51,l+r*p,False,False
51,l*r+p,False,False
51,l*p+r,True,False
51,l*r*p,False,False
52,l,False,False
52,p,False,False
52,r,False,False
52,l+p,True,False
52,l+r,False,False
52,p+r,False,False
52,l*r,True,False
52,l*p,False,False
52,p*r,True,False
52,l+r+p,True,False
52,l+r*p,True,False
52,l*r+p,True,False
52,l*p+r,True,True
52,l*r*p,True,False
53,l,False,False
53,p,False,False
53,r,False,False
53,l+p,False,False
53,l+r,True,False
53,p+r,False,False
53,l*r,False,False
53,l*p,False,False
53,p*r,True,True
53,l+r+p,False,False
53,l+r*p,True,False
53,l*r+p,True,False
53,l*p+r,True,True
53,l*r*p,True,False
54,l,False,False
54,p,False,False
54,r,False,False
54,l+p,False,False
54,l+r,False,False
54,p+r,False,False
54,l*r,False,False
54,l*p,True,True
54,p*r,False,False
54,l+r+p,False,False
54,l+r*p,False,False
54,l*r+p,True,False
54,l*p+r,False,False
54,l*r*p,False,False
55,l,False,False
55,p,False,False
55,r,False,False
55,l+p,False,False
55,l+r,False,False
55,p+r,False,False
55,l*r,True,False
55,l*p,False,False
55,p*r,False,False
55,l+r+p,False,False
55,l+r*p,False,False
55,l*r+p,False,False
55,l*p+r,True,False
55,l*r*p,True,True
56,l,False,False
56,p,False,False
56,r,False,False
56,l+p,False,False
56,l+r,False,False
56,p+r,False,False
56,l*r,False,False
56,l*p,False,False
56,p*r,False,False
56,l+r+p,True,False
56,l+r*p,False,False
56,l*r+p,False,False
56,l*p+r,True,True
56,l*r*p,True,False
57,l,False,False
57,p,False,False
57,r,False,False
57,l+p,False,False
57,l+r,True,False
57,p+r,False,False
57,l*r,True,False
57,l*p,True,False
57,p*r,False,False
57,l+r+p,True,False
